Asteroid ID,Asteroid name,Minimal estimated diameter in Kilometre,Absolute_magnitude,Relative_velocity(km/s)
2000433,433 Eros (A898 PA),22.0067027115,10.41,5.5786191875
2000719,719 Albert (A911 TB),2.0256060086,15.59,3.4460289632
2000887,887 Alinda (A918 AA),4.53476699,13.84,7.0959725581
2001036,1036 Ganymed (A924 UB),38.7752830381,9.18,6.3038663337
2001221,1221 Amor (1932 EA1),0.8882904164,17.38,10.7701737371
2001566,1566 Icarus (1949 MA),1.3018321019,16.55,27.0080710025
2001580,1580 Betulia (1950 KA),3.0800302127,14.68,11.3576547601
2001620,1620 Geographos (1951 RA),2.3472263753,15.27,11.7628121919
2001627,1627 Ivar (1929 SH),7.2202955766,12.83,6.5498703617
2001685,1685 Toro (1948 OA),3.7030107822,14.28,16.1350828383
2001862,1862 Apollo (1932 HA),1.6164228334,16.08,11.6407147228
2001863,1863 Antinous (1948 EA),2.1505769,15.46,18.0795126569
2001864,1864 Daedalus (1971 FA),2.8480983133,14.85,21.1217902271
2001865,1865 Cerberus (1971 UA),1.1656145947,16.79,15.3278825687
2001866,1866 Sisyphus (1972 XA),8.4053340207,12.5,23.0737678419
2001915,1915 Quetzalcoatl (1953 EA),0.5604733623,18.38,15.120986141
2001916,1916 Boreas (1953 RA),2.7199127735,14.95,6.9573972766
2001917,1917 Cuyo (1968 AA),3.5039264111,14.4,15.234490085
2001943,1943 Anteros (1973 EC),1.9255507819,15.7,7.2023034001
2001980,1980 Tezcatlipoca (1950 LA),4.5556985234,13.83,
